Title,Author
To Kill a Mockingbird,Harper Lee
1984,George Orwell
Pride and Prejudice,Jane Austen
The Great Gatsby,F. Scott Fitzgerald
Moby-Dick,Herman Melville
War and Peace,Leo Tolstoy
The Catcher in the Rye,J.D. Salinger
The Hobbit,J.R.R. Tolkien
Crime and Punishment,Fyodor Dostoevsky
Brave New World,Aldous Huxley
The Odyssey,Homer
The Brothers Karamazov,Fyodor Dostoevsky
The Divine Comedy,Dante Alighieri
Anna Karenina,Leo Tolstoy
The Adventures of Huckleberry Finn,Mark Twain
Don Quixote,Miguel de Cervantes
Wuthering Heights,Emily Brontë
Les Misérables,Victor Hugo
The Iliad,Homer
Jane Eyre,Charlotte Brontë
Great Expectations,Charles Dickens
Frankenstein,Mary Shelley
Dracula,Bram Stoker
The Picture of Dorian Gray,Oscar Wilde
The Count of Monte Cristo,Alexandre Dumas
A Tale of Two Cities,Charles Dickens
Madame Bovary,Gustave Flaubert
The Grapes of Wrath,John Steinbeck
Of Mice and Men,John Steinbeck
Fahrenheit 451,Ray Bradbury
